source,title,link,published,summary,timestamp,symbol
economic_times,Trump keen on new nuclear arms control treaty,https://economictimes.indiatimes.com/news/international/world-news/trump-keen-on-new-nuclear-arms-control-treaty-us-official/articleshow/127983199.cms,"Fri, 06 Feb 2026 15:35:02 +0530",,2026-02-06 20:50:36.796709,
economic_times,SIR: UP final electoral roll on Apr 10,https://economictimes.indiatimes.com/news/politics-and-nation/sir-final-electoral-roll-for-up-to-be-released-on-april-10/articleshow/127982624.cms,"Fri, 06 Feb 2026 15:24:07 +0530",,2026-02-06 20:50:36.796709,
economic_times,'PM Malaysia visit to focus Indo-Pacific',https://economictimes.indiatimes.com/news/india/pm-modis-malaysia-visit-to-mark-new-phase-in-bilateral-ties-indias-high-commissioner-to-malaysia/articleshow/127982368.cms,"Fri, 06 Feb 2026 15:16:53 +0530",,2026-02-06 20:50:36.796709,
economic_times,Raut rubbishes Speaker Birla’s LS claim,https://economictimes.indiatimes.com/news/politics-and-nation/laughable-says-raut-as-he-rubbishes-speaker-birlas-ls-claim/articleshow/127982489.cms,"Fri, 06 Feb 2026 15:16:15 +0530",,2026-02-06 20:50:36.796709,
economic_times,Mahua Moitra files FIR over 'fabricated' chats,https://economictimes.indiatimes.com/news/new-updates/mahua-moitra-files-fir-over-fabricated-leaked-chats-circulating-on-x-and-other-social-media-platforms/articleshow/127981742.cms,"Fri, 06 Feb 2026 15:08:05 +0530",,2026-02-06 20:50:36.796709,
economic_times,Harshit Rana ruled out of T20 WC? SKY opens up,https://economictimes.indiatimes.com/news/sports/harshit-rana-ruled-out-of-t20-world-cup-skipper-sky-gives-an-update-on-pacers-injury/articleshow/127981668.cms,"Fri, 06 Feb 2026 15:04:51 +0530",,2026-02-06 20:50:36.796709,
economic_times,Top 10 life insurers with highest complaints in 2026,https://economictimes.indiatimes.com/wealth/insure/top-10-life-insurance-companies-with-highest-complaints-in-2026-as-per-insurance-ombudsman-report-2024-25/articleshow/127978400.cms,"Fri, 06 Feb 2026 15:02:57 +0530",,2026-02-06 20:50:36.796709,
economic_times,Will Railways refund half the fare for RAC tickets?,https://economictimes.indiatimes.com/wealth/save/will-railways-refund-half-the-fare-for-rac-tickets-parliamentary-committee-also-suggests-railways-to-review-superfast-train-criteria/articleshow/127981786.cms,"Fri, 06 Feb 2026 14:58:29 +0530",,2026-02-06 20:50:36.796709,
business_standard,"NSE board approves IPO via OFS, reconstitutes committee to oversee listing",https://www.business-standard.com/markets/ipo/nse-board-approves-ipo-via-ofs-reconstitutes-committee-to-oversee-listing-126020601880_1.html,"Fri, 06 Feb 2026 20:13:43 +0530","Sebi's NOC, granted last Friday, marks a major step for the NSE, whose IPO plans were stalled for a decade due to regulatory issues and the co-location controversy",2026-02-06 20:50:38.117336,
business_standard,"Uber, Rapido, Ola, and Porter drivers plan nationwide strike on Saturday",https://www.business-standard.com/industry/news/uber-rapido-ola-and-porter-drivers-plan-nationwide-strike-on-saturday-126020601877_1.html,"Fri, 06 Feb 2026 20:06:12 +0530","Some of the drivers' demands include government-notified minimum base fares for ride-hailing platforms, decided in consultation with drivers",2026-02-06 20:50:38.117336,
business_standard,"Tata Steel Q3FY25 results: Net profit jumps 723% to ₹2,688.7 crore",https://www.business-standard.com/companies/quarterly-results/tata-steel-q3fy25-results-net-profit-jumps-723-to-2-688-7-crore-126020601845_1.html,"Fri, 06 Feb 2026 19:50:59 +0530","Tata Steel posts 723% jump in Q3 FY26 net profit to ₹2,689 crore on strong India volumes, Netherlands turnaround and cost savings, even as revenues miss estimates",2026-02-06 20:50:38.117336,
business_standard,PFC approves in-principle merger proposal with REC after Budget 2026 push,https://www.business-standard.com/companies/news/pfc-rec-board-merger-approval-budget-2026-shares-stake-acquisition-126020601587_1.html,"Fri, 06 Feb 2026 17:59:12 +0530",PFC's board has approved an in-principle merger with REC after the Budget 2026 proposal to restructure the two public-sector NBFCs. The merger details are yet to be finalised,2026-02-06 20:50:38.117336,
